ra,dec,u,g,r,i,z,plate,mjd,fiberid
101.685985139192,-0.715557954585513,15.6364,14.59404,14.26156,13.836,13.64238,7258,56605,75
101.698423601182,-0.683015022154646,17.96331,15.44903,14.36084,13.90272,13.61948,7258,56605,70
102.367946085543,-0.771047458925312,20.33535,17.45846,16.0372,15.34692,14.87566,7258,56605,2
96.1109888702745,-0.453163951202538,18.92984,17.40899,17.14594,17.03261,16.92126,1259,52931,27
99.7726207739996,-0.425136318589345,18.37494,15.97956,15.0186,14.8048,14.50882,7258,56605,482
99.8686897807781,-0.336614819891031,16.41547,15.02358,14.56885,14.38471,14.30559,7258,56605,540
99.8787196291863,-0.385852600838745,18.81198,16.02653,14.62627,13.96418,13.49142,7258,56605,539
100.190129360897,-0.340960184464452,16.37185,14.82039,14.18476,13.89882,13.75955,7258,56605,620
100.225405889932,-0.343306383760807,15.9331,14.55193,14.05514,13.83858,13.75843,7258,56605,619
100.652925715994,-0.282218551717472,16.7586,15.22506,14.65776,14.45439,14.35698,7258,56605,698
100.643659606018,-0.302692803362194,16.23257,15.52385,15.20704,15.21522,12.57526,7258,56605,697
100.712580994993,-0.341717996773597,17.71261,15.34186,14.22853,14.20036,13.40604,7258,56605,693
100.864190686714,-0.383562549825622,17.77569,15.58206,14.46634,13.95121,13.61369,7258,56605,740
100.922152073588,-0.426889745259643,18.49072,16.09097,15.95969,14.55682,13.53071,7258,56605,778
100.951847696112,-0.27091487028738,16.72481,15.28047,14.82094,14.03267,12.88799,7258,56605,775
101.150959779523,-0.446377051603097,20.09443,17.35551,15.90054,14.72193,14.11421,7258,56605,820
101.098610444657,-0.437848918300783,20.18173,17.49194,16.10071,15.3965,14.92432,7258,56605,818
101.35399275163,-0.362592609490783,18.88207,15.70511,14.32723,13.74524,13.36329,7258,56605,856
101.463902657507,-0.344035262287043,17.21199,15.17274,14.26948,13.90858,13.74086,7258,56605,899
101.476191376719,-0.326187685416186,17.80362,15.50526,14.46517,14.02423,13.76642,7258,56605,900
101.581817447928,-0.40252085374345,16.01502,14.68046,14.19128,14.03423,13.99204,7258,56605,120
101.691378636068,-0.315839396888978,18.1725,15.56275,14.25098,13.7755,13.05231,7258,56605,939
101.757914770242,-0.315488429994649,16.6933,15.08783,14.40303,14.15831,14.02356,7258,56605,937
101.823730346735,-0.345831236288848,16.9794,15.16778,14.27567,13.87308,13.65812,7258,56605,78
101.997658721974,-0.364429820806434,15.70388,14.44166,14.076,13.80697,13.80108,7258,56605,38
102.037659696013,-0.348418858740345,16.00147,15.0354,14.59001,14.36495,14.18227,7258,56605,39
102.056212558066,-0.416836040617038,15.6551,14.29481,14.74329,14.17425,13.55265,7258,56605,36
102.192806283506,-0.261156370818719,16.34338,14.84006,14.52795,14.41008,14.32011,7258,56605,40
102.145284018665,-0.330126355748848,20.15897,17.24609,15.69566,14.93834,14.40388,7258,56605,37
102.273817270993,-0.422619071289793,16.41835,14.68628,14.97932,14.51863,13.35032,7258,56605,27
102.473030899394,-0.351909547005804,18.1714,16.0719,15.00671,14.55609,14.26292,7258,56605,16
102.47909298872,-0.251276202921763,16.58568,15.20891,14.62562,14.40954,14.30935,7258,56605,17
82.8903466434746,-0.00642826470713014,16.17624,14.99247,14.60148,14.46837,14.43359,2052,53401,438
82.9247756071617,-0.0322577513306202,18.19662,16.56628,15.87193,15.60848,15.4522,2052,53401,426
83.0404294591172,-0.0238601086496887,17.56197,15.92929,15.1353,14.7783,14.52189,2052,53401,434
99.7724664639974,0.104357324079503,19.84649,17.07529,15.62049,14.95451,14.36956,7258,56605,527
99.9416275505455,0.0483146298062623,14.71591,14.94269,14.9298,15.25805,13.65709,7258,56605,568
100.209644697519,0.0466194211414468,19.43004,16.79319,15.39826,14.80828,14.46437,7258,56605,608
100.46892476511,0.116415772630884,17.92337,15.48013,16.30984,15.12974,13.19095,7258,56605,645
100.557953249013,0.170189298241016,16.52298,15.08996,14.5872,14.42418,14.26197,7258,56605,684
100.614387927571,-0.0382107772838216,15.75731,14.43029,15.57371,18.87903,14.08257,7258,56605,688
100.71026454128,0.104737160790385,16.78061,16.36617,15.57695,15.81089,12.96848,7258,56605,700
100.836817962283,0.122643711699923,15.65379,15.32446,15.4311,14.76341,13.62571,7258,56605,726
101.15053848689,-0.0320094925927789,15.31121,15.58514,15.32141,14.83198,13.55994,7258,56605,810
101.32859038218,-0.0226305965335629,15.65786,14.27966,14.84861,14.23019,14.25905,7258,56605,848
101.274437022343,-0.0229582742862376,16.05087,15.7844,15.45802,14.58652,13.85625,7258,56605,846
101.42182968582,0.0153524243693801,17.58609,14.97577,15.29177,16.38486,12.7471,7258,56605,847
101.559204777335,0.127005823818381,15.11872,15.44588,15.55401,15.07876,13.54368,7258,56605,889
101.516049065324,0.0522792904488566,21.18265,18.32631,16.82367,15.29664,14.48745,7258,56605,890
101.564402469895,-0.0224292669006998,19.28275,16.66011,15.31736,14.62873,14.16197,7258,56605,891
101.79115404821,-0.0345358203203658,20.116,17.44328,15.95116,15.1608,14.54982,7258,56605,940
102.136791021577,0.0867194975147808,17.38964,15.36965,14.61518,14.33391,14.13852,7258,56605,948
102.20223447502,0.00137222231177321,16.13739,15.40589,15.51279,14.90951,14.09133,7258,56605,993
102.247808604604,0.127552226214722,20.42479,17.94454,16.45072,15.50724,14.95377,7258,56605,990
99.9862769953057,0.430073007830258,19.44348,16.86663,15.4965,14.85648,14.3921,7258,56605,550
100.07482458631,0.483533012877806,16.38723,14.97587,14.47678,16.6176,14.12953,7258,56605,553
100.119683117462,0.44453331475989,17.27518,15.68627,14.95837,15.42455,14.44965,7258,56605,600
100.421629317763,0.518479595020084,17.44302,15.92265,16.3988,13.72931,14.37464,7258,56605,625
100.434348294841,0.462820331058778,16.53706,16.55868,15.77137,15.64456,13.9369,7258,56605,627
100.503494550175,0.560701600305262,17.87066,15.69092,14.2522,16.85826,13.4805,7258,56605,673
100.508322845431,0.464255790979234,17.03595,15.31208,14.65158,21.53497,14.30346,7258,56605,672
100.513212714048,0.521192881245784,19.26925,16.70125,15.37627,14.75687,14.31962,7258,56605,675
100.599538520381,0.405575092159579,16.77748,15.27387,14.71788,14.81829,14.30419,7258,56605,678
100.60888240466,0.587416541797237,18.03065,15.71204,15.71425,16.08164,13.54783,7258,56605,669
100.698340392186,0.405686584580127,15.5118,13.40196,15.20846,12.71374,13.33558,7258,56605,719
100.723065072708,0.450309435780006,17.95054,15.78527,15.55663,14.30311,13.68287,7258,56605,716
100.731642835551,0.396400508219282,16.87758,15.94895,14.89436,11.84722,11.95651,7258,56605,715
100.776537581299,0.588992812040242,15.5205,12.27581,15.20984,12.2455,13.33307,7258,56605,714
100.876501056542,0.496789107669825,14.22763,11.69617,14.56156,15.12409,13.12607,7258,56605,755
100.896372754461,0.381522019525923,17.37839,15.43384,14.32164,16.49301,13.49704,7258,56605,760
100.910722842299,0.589816433080826,14.83332,15.39574,15.1485,15.47842,13.12094,7258,56605,750
100.974695138285,0.50563591942769,18.87183,16.64862,15.41294,14.79364,14.35271,7258,56605,756
100.982791096423,0.486808129327556,17.85889,15.38055,14.36942,14.06631,13.57455,7258,56605,758
100.999263762962,0.423397598324903,16.56784,16.33005,15.37508,15.32601,13.11358,7258,56605,757
101.023495740662,0.439671487082157,16.92677,16.08778,16.73203,15.64717,14.7067,7258,56605,799
101.175461045026,0.557238082609726,17.65579,15.28196,14.74041,17.5364,13.53611,7258,56605,794
101.042872578408,0.56180302911532,16.08845,15.48892,15.53531,15.50713,13.83176,7258,56605,800
101.17799642869,0.589439630910717,18.11485,16.52217,15.28679,17.13126,13.31715,7258,56605,798
101.092795493891,0.466743774820709,17.64809,15.64299,14.83597,16.07632,14.40837,7258,56605,797
101.12435320815,0.480037534548173,15.79744,14.76481,15.42387,14.11155,13.93404,7258,56605,795
101.520825100539,0.468977120550012,15.6249,14.56811,14.01014,14.00982,13.84869,7258,56605,876
101.553497983241,0.498432336865559,15.38662,12.59393,15.44899,16.42434,13.78285,7258,56605,875
101.649978487154,0.490096844525582,15.85963,14.83866,15.29324,13.71094,13.55505,7258,56605,915
101.75139325315,0.416487978542474,19.81643,17.0866,15.54958,14.75161,14.20098,7258,56605,917
101.848369730244,0.434443414876683,18.10072,16.48287,15.53084,14.96152,14.51102,7258,56605,918
101.910073586261,0.475823810288905,14.90133,15.20489,15.48265,15.7495,13.37118,7258,56605,977
101.941643949808,0.560980947907687,15.76684,14.54148,14.01913,13.90458,13.72712,7258,56605,976
101.946491245754,0.459765831523057,16.23665,14.85771,14.28545,14.13367,13.96371,7258,56605,980
101.99132639383,0.405276547803736,16.67395,15.42257,16.86504,14.19445,14.37992,7258,56605,971
102.016669495069,0.458705426514152,18.86538,16.47818,15.33066,14.83393,14.50236,7258,56605,969
102.085322808076,0.575763600360971,16.14923,14.90123,14.37847,17.16581,13.96621,7258,56605,970
100.288305332052,0.842961013633306,16.89735,15.34054,14.75419,14.45128,14.2262,7258,56605,621
